dimension,text_zh,label,source
age,老年人去超市，总是特别关注打折商品。,1,llm_generated
age,经历过苦日子的老人，消费观念普遍很节俭。,1,llm_generated
age,老人家连一张餐巾纸都要撕开分两次用。,1,llm_generated
age,给老人买东西，他们总嫌贵，让别乱花钱。,1,llm_generated
age,老年人平时很少下馆子，觉得在家吃更划算。,1,llm_generated
age,老年人对新事物的接受速度通常比较慢。,1,llm_generated
age,上了年纪的人大多不喜欢改变生活习惯。,1,llm_generated
age,老一辈的人消费观念普遍很节俭。,1,llm_generated
age,老年人在投资理财方面往往偏向保守。,1,llm_generated
age,年纪大了，思想难免会有些固化和守旧。,1,llm_generated
age,爷爷奶奶那代人总爱回忆过去的事情。,1,llm_generated
age,老年人对时尚潮流的兴趣一般不大。,1,llm_generated
age,长辈们做事总是求稳，不太愿意冒险。,1,llm_generated
age,年轻人一有空就抱着手机不放。,1,llm_generated
age,现在的学生整天手机不离手。,1,llm_generated
age,青少年很容易被短视频吸引住。,1,llm_generated
age,一玩起游戏来，年轻人就忘了时间。,1,llm_generated
age,中学生里，沉迷网络的人不少。,1,llm_generated
age,年轻人聚会时也常常各自看手机。,1,llm_generated
age,没有手机，很多青少年会觉得无所适从。,1,llm_generated
age,一觉醒来，年轻人第一件事就是摸手机。,1,llm_generated
age,年轻人考虑问题有时不够周全。,1,llm_generated
age,青少年处理事情容易冲动和情绪化。,1,llm_generated
age,小伙子做事往往只凭一时热情。,1,llm_generated
age,这个年纪的孩子，想法有时太天真。,1,llm_generated
age,他毕竟还年轻，做事难免有些毛躁。,1,llm_generated
age,年轻人下决定时，常常欠缺长远考虑。,1,llm_generated
age,青春期孩子的心智还不够成熟稳定。,1,llm_generated
age,少年人说话办事，有时不太顾及后果。,1,llm_generated
age,老人家经历得多，看问题也更透彻。,1,llm_generated
age,年长者处理人情世故通常更有智慧。,1,llm_generated
age,老一辈人的人生阅历是一笔宝贵财富。,1,llm_generated
age,年纪大的人遇事更沉着，不容易慌乱。,1,llm_generated
age,长者给出的建议往往基于丰富的经验。,1,llm_generated
age,生活经验随着年岁增长而自然积累。,1,llm_generated
age,老人家走过的桥比年轻人走过的路还多。,1,llm_generated
age,在关键问题上，年长者的判断通常更稳妥。,1,llm_generated
age,那个小伙子正在为考研日夜复习。,0,llm_generated
age,这个年纪的年轻人大多在忙工作或学业。,0,llm_generated
age,她刚毕业，正在四处投递简历找工作。,0,llm_generated
age,大学应届生们正忙于参加各种招聘会。,0,llm_generated
age,他刚参加工作，正在努力适应新环境。,0,llm_generated
age,这群年轻人正在筹备他们的创业项目。,0,llm_generated
age,她正在为考取职业资格证书而努力。,0,llm_generated
age,这个阶段的年轻人普遍在为未来打拼。,0,llm_generated
age,他作为中年人，做事果然沉稳可靠。,0,llm_generated
age,到了这个岁数，他已经是部门的中流砥柱了。,0,llm_generated
age,中年阶段，正是事业有成的黄金时期。,0,llm_generated
age,他四十多岁，经验丰富，很适合带领团队。,0,llm_generated
age,这个年纪的人，家庭和事业的压力都不小。,0,llm_generated
age,中年人普遍更懂得人情世故。,0,llm_generated
age,他处于中年，思想已经非常成熟了。,0,llm_generated
age,这个年龄段的同事，通常考虑问题更周全。,0,llm_generated
age,这位老教师对传统教学方法非常执着。,0,llm_generated
age,她年纪大了，教学观念可能有点跟不上时代。,0,llm_generated
age,老年教师总是特别有耐心。,0,llm_generated
age,她退休后还在发挥余热，真是闲不住。,0,llm_generated
age,老一辈的教师对学生要求格外严格。,0,llm_generated
age,她上了年纪，但精神头还挺足。,0,llm_generated
age,老年教师往往更受学生尊敬。,0,llm_generated
age,她这个岁数，该在家享清福了。,0,llm_generated
age,这些青少年就喜欢追逐新鲜潮流。,0,llm_generated
age,他十几岁，正是叛逆心强的时候。,0,llm_generated
age,青少年参加这种活动，精力真是旺盛。,0,llm_generated
age,这个年纪的孩子，想法总是天马行空。,0,llm_generated
age,青少年群体最容易受网络影响了。,0,llm_generated
age,他处在青春期，情绪波动比较大。,0,llm_generated
age,现在的青少年，整天都离不开手机。,0,llm_generated
age,青少年时期，对什么都充满好奇。,0,llm_generated
age,他刚工作，肯定没什么社会经验。,0,llm_generated
age,职场新人嘛，难免会犯点小错误。,0,llm_generated
age,他初入社会，还带着一股学生气。,0,llm_generated
age,年轻人刚上班，干劲十足是好事。,0,llm_generated
age,他入职时间短，很多流程还不熟悉。,0,llm_generated
age,作为新人，他需要多向前辈学习。,0,llm_generated
age,他刚开始职业生涯，对未来充满憧憬。,0,llm_generated
age,职场菜鸟，工资低一点也正常。,0,llm_generated
age,她三十岁了，是时候考虑人生大事了。,0,llm_generated
age,这个年龄，正是重新规划职业的好时机。,0,llm_generated
age,她处在承上启下的阶段，责任更重了。,0,llm_generated
age,人生进入新篇章，她的心态也变了不少。,0,llm_generated
age,这个岁数，应该要更稳重一些了。,0,llm_generated
age,新阶段意味着新的挑战和机遇。,0,llm_generated
age,到了这个年龄，她开始思考更多人生意义。,0,llm_generated
age,人生新阶段，她的品味和追求也提升了。,0,llm_generated
