dimension,text_zh,label,source
education,她考上了硕士研究生。,0,llm_generated
education,他目前正在读硕士。,0,llm_generated
education,她正在准备研究生复试。,0,llm_generated
education,他是一名在读研究生。,0,llm_generated
education,她顺利考取了研究生。,0,llm_generated
education,他正在为研究生考试努力。,0,llm_generated
education,她刚刚收到了研究生录取通知书。,0,llm_generated
education,他大学毕业后直接去企业上班了。,0,llm_generated
education,她本科一毕业就找到了工作。,0,llm_generated
education,他读完本科后进入了一家私企。,0,llm_generated
education,她本科毕业后顺利入职。,0,llm_generated
education,他大学毕业后开始了职场生涯。,0,llm_generated
education,她本科毕业就参加了工作。,0,llm_generated
education,他完成本科学业后成了一名上班族。,0,llm_generated
education,她大学毕业后进入公司工作。,0,llm_generated
education,他是大专学历，目前在试用期。,0,llm_generated
education,她大专毕业，正在一家单位见习。,0,llm_generated
education,他读的大专，现在在实习阶段。,0,llm_generated
education,她大专刚毕业，正在实习。,0,llm_generated
education,他是大专生，目前处于实习期。,0,llm_generated
education,她大专文凭，现在在实习岗位上。,0,llm_generated
education,他大专毕业后开始实习。,0,llm_generated
education,她拥有大专学历，目前正在实习。,0,llm_generated
education,这个孩子正在全力备战高考。,0,llm_generated
education,他目前的主要任务就是准备高考。,0,llm_generated
education,她正在为高考做最后的冲刺。,0,llm_generated
education,这名高三学生正在复习迎接高考。,0,llm_generated
education,他现在的生活重心就是高考复习。,0,llm_generated
education,她正在夜以继日地准备高考。,0,llm_generated
education,这个学生把所有时间都花在高考备考上。,0,llm_generated
education,他正处于紧张的高考准备阶段。,0,llm_generated
education,他顺利取得了本科学位。,0,llm_generated
education,她完成了大学本科学业。,0,llm_generated
education,他大学本科毕业了。,0,llm_generated
education,她读完了本科。,0,llm_generated
education,他结束了本科阶段的学习。,0,llm_generated
education,她拿到了本科毕业证书。,0,llm_generated
education,他本科顺利毕业了。,0,llm_generated
education,她完成了四年的本科学业。,0,llm_generated
education,他只有初中文凭。,0,llm_generated
education,她读到高中就出来工作了。,0,llm_generated
education,他的教育程度止步于高中。,0,llm_generated
education,她没上过大学，最高学历是高中。,0,llm_generated
education,他高中毕业就没再读书了。,0,llm_generated
education,她的学业以高中为终点。,0,llm_generated
education,他连高中都没读完。,0,llm_generated
education,她的最高教育水平就是高中毕业。,0,llm_generated
education,他在技校学一门手艺。,0,llm_generated
education,她报读了一个职业培训课程。,0,llm_generated
education,他去了中专学校。,0,llm_generated
education,她在职业学院学习专业技能。,0,llm_generated
education,他选择进入职高。,0,llm_generated
education,她正在接受职业教育。,0,llm_generated
education,他读的是技术学校。,0,llm_generated
education,她在职业院校就读。,0,llm_generated
education,她决定攻读博士学位。,0,llm_generated
education,他考上了研究生。,0,llm_generated
education,她打算出国留学深造。,0,llm_generated
education,他选择了读研。,0,llm_generated
education,她准备继续读硕士。,0,llm_generated
education,他获得了保研资格。,0,llm_generated
education,她计划在学术道路上走得更远。,0,llm_generated
education,他成功申请到了进修项目。,0,llm_generated
education,他拿到了大专毕业证。,0,llm_generated
education,她完成了专科教育。,0,llm_generated
education,他大专顺利毕业了。,0,llm_generated
education,她读的是三年制大专。,0,llm_generated
education,他的学业在大专层次结束。,0,llm_generated
education,她取得了大专学历。,0,llm_generated
education,他读完了大专课程。,0,llm_generated
education,她的最高学历是大专。,0,llm_generated
education,他考上了硕士研究生。,0,llm_generated
education,她成功被研究生院录取。,0,llm_generated
education,他通过了硕士研究生的初试和复试。,0,llm_generated
education,她拿到了研究生录取通知书。,0,llm_generated
education,他考研成功了。,0,llm_generated
education,她获得了研究生入学资格。,0,llm_generated
education,他即将开始研究生阶段的学习。,0,llm_generated
education,她顺利通过了研究生招生考试。,0,llm_generated
